Scheme Name,Ministries/Departments,Description & Benefits,Tags
Scheme of Assistance for the Prevention of Alcoholism & Substance (Drugs) Abuse and for Social Defence Services: General Grant-in-Aid Programme for Financial Assistance in the Field of Social Defence,Ministry Of Social Justice and Empowerment,"The scheme aims to meet needs falling within the mandate of the Ministry which cannot be met under its regular schemes and support such initiatives of an innovative/pilot nature in the area of welfare and empowerment of the Ministry’s target groups, as cannot be supported under its regular schemes.","Financial Assistance, Grant, Rehabilitation, Social Defence"
Jeevanam Self-Employment Scheme To Dependents Of Crime Victims,Kerala,"The scheme “Jeevanam Self-Employment Scheme to Dependents of Crime Victims” was launched by the Department of Social Justice, Government of Kerala.","Breadwinner, Dependent, Financial Assistance, Self-Employment, Victim"
Nari Niketans,Jammu and Kashmir,"The ""Nari Niketans"" were established in 1976 by the Social Welfare Department, Govt. of Jammu and Kashmir wherein deserted /destitute ladies/ widows having no means of livelihood are given admissions. There are seven Nari Niketan in Jammu & Kashmir. This is a 100% State Sponsored Scheme.","Destitute, Rehabilitation, Shelter, Social Welfare, Widow"
Asangathit Karmakar Gambhir Bimari Chikitsa Sahayata Yojana,Chhattisgarh,"Chhattisgarh State Government started a scheme ""Asangathit Karmakar Gambhir Bimari Chikitsa Sahayata Yojana"" for unorganized worker on 28 April 2012.","Financial Assistance, Medical Treatment, Serious Illness"
Airavata Scheme,Karnataka,"This scheme envisages partnership with corporate aggregators like OLA and UBER to facilitate self-employment of rural youth through Radio Taxi and other successful cab transport ventures. Rural youth from SC/ST communities will be provided training, mentoring and other enhanced financial assistance.",
Reimbursement of Stamp Duty and Registration Charges,Tamil Nadu,"The scheme ""Reimbursement of Stamp Duty and Registration Charges"" by the Micro Small and Medium Enterprises Department, Government of Tamil Nadu, is introduced with the objective of reducing the stamp duty and registration charges incurred by MSEs investing in backward blocks.","Business, Enterprise, MSME, Reimbursement"
Support for Value Addition - Support to R&G units,Ministry Of Commerce And Industry,"This scheme aims to enhance the quality of coffee products and achieve value addition through the introduction of improved technologies in roasting, grinding, and packaging which will result in boosting domestic coffee consumption and entrepreneurship in the coffee sector.","Agriculture, Direct Benefit Transfer, Farmer, Financial Assistance, Subsidy"
MANAGE Internship Programme,Ministry Of Agriculture and Farmers Welfare,"MANAGE Internship Programme is open to students from the disciplines of Extension Education, Economics, Sociology, Psychology, MSW, Journalism, Communication, and Environmental Science. The internships are open year-round, and the duration ranges from 3 months upto 6 months.","Agriculture, Environment, Internship, Management, Student"
Laadli Laxmi Scheme,Goa,Laadli Laxmi Scheme was launched with the intention to address the undesirable tendency of female foeticides and with an aim towards erasing the general perception that the birth of a girl in the family is a burden on her parents/guardian during her marriage.,"Financial Assistance, Girl, Marriage, Social Welfare"
Distress Relief Fund For The Differently Abled (Medical Treatment),Kerala,"The scheme “Distress Relief Fund for the Differently Abled (Medical Treatment)” was launched by the Department of Social Justice, Government of Kerala.","BPL, Differently Abled, Distress, Financial Assistance, Handicap, Medical Treatment, PwD"
Coaching Schemes For Sc/st/obc (non-creamy Layer) & Minority Students For Universities,Ministry Of Minority Affairs,"Coaching schemes for students belonging to SC (Scheduled Caste), ST (Scheduled Tribe), OBC (Other Backward Classes) (non-creamy layer), and minority communities are implemented to provide them with equal opportunities and support in pursuing higher education.","Coaching, Other Backward Classes, Scheduled Caste, Scheduled Tribe, Students"
Atma Nirbhar Bagwani Yojana,Arunachal Pradesh,The schemes are part of the Atma Nirbhar program announced during the Budget session held in February this year. A total amount of Rs 120 crores – Rs 60 crore for each scheme – has been allocated to the two concerned departments of Agriculture and Horticulture.,"Farmers, Subsidy, Umbrella Scheme"
Mukhyamantri Nischay Swayam Sahayata Bhatta Yojna,Bihar,The allowance will be provided by the Government of Bihar to the educated unemployed citizens under the Chief Minister Self Help Allowance Scheme. So that the citizens of the state do not have to face financial crisis.,"Financial Assistance, Skilled Youth Program, Social Welfare, Unemployment"
Natural Calamity Relief to Fishermen of State,Goa,"“Natural Calamity Relief to Fishermen of State” is a scheme by the Dept of Fisheries, Govt of Goa. Through this scheme, financial assistance is provided to the active fishermen who contribute to the Fishermen Corpus Relief Fund, whose fishing vessels are damaged or lost due to natural calamities.","Crisis, Disaster, Financial Assistance, Fishermen, Relief"
Industry Linked Biotechnology Research Scheme,Kerala,The Scheme “Industry Linked Biotechnology Research Scheme (IBRS)” facilitates Academia-Industry interaction by undertaking projects in collaboration with an industrial partner which should result in commercializing the product or process or service.,"Biotechnology, Grant, Industry, Research, Scientist, Technologist"
Financial Assistance for the Purchase of Lifejackets and Lifebuoys for Fishermen,Goa,"“Financial Assistance for the Purchase of Lifejackets and Lifebuoys for Fishermen” is a scheme by the Dept. of Fisheries, Govt. of Goa. Through this scheme, financial assistance amounting to ₹50% is provided by the Government to eligible fishermen for the Purchase of Lifejackets and Lifebuoys.","Financial Assistance, Fish, Fisheries, Fishermen"
Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Support for Eco-Certification / Organic Certification,Ministry Of Commerce And Industry,The scheme aims to encourage coffee growers to improve quality for higher returns and improve access to high-value specialty markets through the production of eco-certified coffees. It also encourages small growers to form groups/collectives to take up eco-certification.,"Agriculture, DBT, Farmer, Subsidy"
NSAP - Indira Gandhi National Old Age Pension Scheme,Ministry Of Rural Development,"""Indira Gandhi National Old Age Pension Scheme"" is one of the five sub-schemes of the National Social Assistance Programme. Under IGNOAPS, citizens living Below Poverty Line and 60 years or above in age are eligible to apply. A monthly pension of ₹ 200 up to 79 years and ₹ 500 thereafter.","BPL, Pension, Senior Citizen, Social Welfare"
Shram Kalyan Shaikshanik Chatravriti Yojana,Madhya Pradesh,Madhya Pradesh State Government started a scheme for the education of working labourers.,"Financial Assistance, Higher Education, Student Finance"
Jai Johar (Old Age Pension) Scheme,West Bengal,"“Jai Johar (Old Age Pension)” is a Social Security Scheme by the Tribal Development Dept, Govt of West Bengal. The scheme is aimed at the ST residents of West Bengal of the age of 60 years and above. A monthly pension of ₹ 1,000/- is transferred to the individual bank account of the beneficiary.","Financial Assistance, Pension, Scheduled Tribe, Senior Citizen, Social Welfare"
Innovation In Science Pursuit For Inspired Research (INSPIRE) - Faculty Fellowship,Ministry Of Science And Technology,"The ""INSPIRE FACULTY FELLOWSHIP"" component provides opportunities to 100 persons every year with Ph.D. qualifications in the age group of 27-32 years for 5 years to carry out research in both basic and applied science areas including engineering, medicine, agriculture, and veterinary sciences.","Faculty, Fellowship, PhD, Research, Science"
"""Subsidy for the Purchase of Fiber-reinforced Plastic Cattamaran/ Vallam/ Wooden Nava/ Marine Plywood Canoe With Nets"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""",Puducherry,"The scheme ""Subsidy for the Purchase of Fiber-reinforced Plastic Cattamaran/ Vallam/ Wooden Nava/ Marine Plywood Canoe With Nets"" is introduced to increase marine fish production by extending subsidies to the fishermen for the procurement of fiber-reinforced plastic vallam with nets.","Boat, Financial Assistance, Fisherman, Procurement, Subsidy"
Goa Village & Municipal Child Committee Grants And Awards Scheme,Goa,"GVMCCGS awards the Panchayats / Municipal Local Bodies to discuss and resolve the issues relating to children. The winner is awarded an annual financial grant of ₹ 10,000/- towards administrative expenses incurred on organizing the activities of the Committee.","Award, Child Rights, Municipal, Panchayat, Village"
Junior Research Fellowship,Ministry Of Science And Technology,"The Department of Biotechnology, Ministry of Science & Technology, Government of India provides fellowships for pursuing research in biotechnology and life-sciences through the ""DBT-Junior Research Fellowship"" (DBT-JRF) Programme.","Financial Assistance, Lecturer, Professor, Research Scientist"
Indira Gandhi National Old Age Pension Scheme - Sikkim,Sikkim,"The scheme “Indira Gandhi National Old Age Pension Scheme (IGNOAPS)” was started by the Department of Women & Child Welfare, Govt. of Sikkim in 2014. Under this scheme, a pension is provided to elderly citizens above the age of 60 years belonging to the Below Poverty Line (BPL) category.","Below Poverty Line, Direct Benefit Transfer, Old Age, Pension"
Mukhyamantri Mahila Utkarsh Yojana,Gujarat,Mukhyamantri Mahila Utkarsh Yojana is a scheme launched by the Government of Gujarat to empower women in the state. The scheme aims to provide financial assistance to women entrepreneurs and to promote their entrepreneurial spirit.,"Mahila, Mukhyamantri, Utkarsh Yojana"
ASEAN-India Research Training Fellowship,Ministry Of Science And Technology,"The “ASEAN-India Research Training Fellowship (AI-RTF)” is a fellowship scheme initiated by the Department of Science & Technology, Government of India under ASEAN-India Science & Technology Development Fund to support young talented researchers/scientists of ASEAN member countries.","ASEAN, Fellowship, FICCI, Innovation, Research, Science, Technology"
Promotion of Energy Audit and Conservation of Energy (PEACE): Incentive for Implementing Energy Audit Recommendations,Tamil Nadu,"The ""Incentive for lmplementing Energy Audit Recommendations"" component of this scheme is introduced to incentivise MSMEs to implement the recommendations of the Energy Audit Report and to optimize energy consumption leading to energy saving and money savings in electricity bills.","Audit, Business, Energy, Enterprise, MSME"
Scholarships to Students with Disabilities Scheme,Punjab,"The objective of the scheme is to assist students with disabilities to secure education, academic, technical, or professional training to enable them to earn a living and to become useful members of society.","Disability, PwD, Scholarship, Student"
Grant of Financial Assistance for Performance of Marriage of Poor Brides Living Below Poverty Line,Puducherry,"This scheme aims to provide financial assistance to poor brides living below the poverty line to meet their marriage expenses. The assistance amount is ₹25,000, and it is granted for the first marriage of the bride. The scheme is implemented through the Department of Women and Child Development.","Below Poverty Line, BPL, Bride, Financial Asisstance, Marriage, Poor"
Stipend to Scheduled Caste Trainees in Technical Training Institutions,Puducherry,The objective of the scheme is to provide financial support to Scheduled Tribe candidates/trainees who are undergoing training in the Government Technical Training Institutions of the Union Territory of Puducherry.,"ITI, Scheduled Caste, Stipend, Trainee"
Production Linked Incentive Scheme For Automobile And Auto Component Industry,Ministry of Heavy Industries,The government of India has launched the scheme “Production Linked Incentive (PLI) Scheme for Automobile and Auto Components Industry” in India to enhance India’s Manufacturing Capabilities for Advanced Automotive Products.,"Auto Component, Automobile, Automotive, Incentive, Industry"
Asangathit Karmakaar Silai Machine Sahayata Yojana,Chhattisgarh,Asangathit Karmakaar Silai Machine Sahayata Yojana started by the Government of Chhattisgarh in 2012.,"Business, Empowerment, Sewing Machine"
Financial Assistance to Purchase/Construct New Fishing Craft less than 26 feet for Fishing in Inland Waters of Goa,Goa,"The scheme has been introduced to uplift the sizeable community of traditional Fishermen, by providing them financial help in the form of subsidy on the construction/ purchase of Fishing Craft less than 26 feet for fishing in inland waters of Goa. The applications are accepted only in offline mode.","Financial Assistance, Fish, Fishermen, Subsidy"
Award of Opportunity Cost to Parents of Scheduled Caste Girl Students,Puducherry,The objective of the scheme is to financially assist the SC parents for sending school their daughters who otherwise earn livelihood for the family engaging themselves in menial labour.,"Girl, Opportunity Cost, Parents, Scheduled Cast, Student"
Stipend Scheme For Poultry Farming Training For Weaker Section,Gujarat,"The scheme “Stipend Scheme for Poultry Farming Training for Weaker Section” was launched by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat to raise the income of poultry farmers by scientific poultry farming training.","Cash Assistance, Poultry Farming, Stipend, Training, Weaker Section"
Merit Based Award and Recognition Of High Performance In The Board Exams Of SSC And HSSC In The State Of Goa,Goa,The objective of this scheme is to motivate students by giving Merit Based Award on the benchmark of performance and to provide financial incentives to high-performing students who are economically weak. The scheme aims to increase the representation of the ST Community in the High-Rank Holders.,"Education, Merit, Scheduled Tribe, School, Student"
Fee Waiver Scheme For SC/ST Students Pursuing Higher Education,Goa,"""Fee Waiver Scheme for SC/ST Students Pursuing Higher Education"" provides free access to every SC/ST student, to the institutions of higher learning so that that no eligible SC/ST students are deprived of higher education for want of resources.","Education, Scheduled Caste, Scheduled Tribe, Scholarship, Student"
Advocate Grant,Kerala,"The Scheme “Advocate Grant” was launched by the Backward Classes Development Department, Government of Kerala during the year 2012-13. Under the scheme, the grant will be provided to law graduates belonging to backward classes facing financial difficulties for starting practice as advocates.","Advocate, Grant, Law Graduate, OBC"
Biotechnology Ignition Grant Scheme,Ministry Of Science And Technology,The “Biotechnology Ignition Grant Scheme (BIG)” is a flagship scheme of BIRAC which recognizes and invests in innovative ideas in the biotech sector. BIG scheme supports individual entrepreneurs/ start-ups from ideation to Proof of Concept.,"BIG, Biotechnology, BIRAC, Entrepreneur, Ignition Grant, Start-up"
Asangathit Karmakar Samachar-Patr Hawker Cycle Sahayata Yojana,Chhattisgarh,"Chhattisgarh State Government started a scheme ""Asangathit Karmakar Samachar-Patr Hawker Cycle Sahayata Yojana"" for unorganized worker on 10 September 2012.","Empowerment, Free Cycle, Vehicle"
Aamar Dukan On Wheels,Assam,The Assam Government proposes to introduce a new module of “Aamar Dukan” namely “AAMAR DUKAN ON WHEELS” in the same line as the existing ‘Aamar Dukan’ on 22.02.2017.,"Aamar Dukan, Business, Startup, Wheels"
KULAVILAKKU,Puducherry,This scheme aims to enhance the nutritional status of Pregnant Women. ₹500/- assistance is provided to eligible beneficiaries during their pregnancies. The scheme is a crucial step towards ensuring the well-being of both mother and child. The benefit will be provided for upto two pregnancies only.,"Financial Assistance, Hospital, Infant, Pregnant, Woman"
Safai Karmakar Hetu Aavashyak Upakaran Sahayata Yojana ​,Chhattisgarh,"Chhattisgarh State Government started a scheme ""Safai Karmakar Hetu Aavashyak Upakaran Sahayata Yojana"" for unorganized worker on 02 September 2015.","Financial Assistance, Sanity Equipment"
Atal Mission For Rejuvenation And Urban Transformation,Ministry Of Housing & Urban Affairs,"Providing basic services (e.g. water supply, sewerage, urban transport) to households and building amenities in cities which will improve the quality of life for all, especially the poor and the disadvantaged is a national priority.","Basic Services, Drainage, Green Space, Non-Motorized, Parks, Septage Management, Sewerage, Storm Water, Urban Transport"
Pradhan Mantri Jeevan Jyoti Bima Yojana,Ministry Of Finance,"Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY) is an insurance scheme offering life insurance cover for death due to any reason. It is a one-year cover, renewable from year to year. The scheme is offered by banks/post offices and administered through life insurance companies.","Claim Form, Consent, Jansuraksha, LIC"
Chief Minister's Micro Finance Initiative,Nagaland,"The Union Minister, Finance and Corporate Affairs, Nirmala Sitharaman and Chief Minister of Nagaland Neiphiu Rio jointly launched the Chief Minister’s Micro Finance Initiative at Capital Cultural Hall, Kohima on 23rd August 2022.","Banking And Money, Business, Financial Assistance, Micro Finance"
Media Person Pension Scheme,Haryana,"The scheme “Media Person Pension Scheme” was launched by the Department of Information, Public Relations and Languages, Haryana on 07th December 2017.","Honorarium, Journalism, Media Persons, Pension"
Development Support for Coffee in Traditional Areas: Eco-certification of Coffee,Ministry Of Commerce And Industry,The scheme encourages coffee growers to access high-value speciality markets through the production of eco-certified coffees to realize higher returns by adhering to a set of standards that help in the communication of the various conditions surrounding the production of coffee.,"Agriculture, Coffee, DBT, Farmer, Subsidy"
DEVELOPMENT OF HANDICRAFTS,Puducherry,The government of Puducherry takes the initiative to revive the vanishing crafts and restore the significance of traditional crafts.,"Handicraft, Puducherry, Skills, Trades, Training"
Mukhyamantri Nirmaan Shramik Pension Sahayata,Chhattisgarh,"Chhattisgarh State Government started a scheme ""Mukhyamantri Nirmaan Shramik Pension Sahayata"" for Building and other construction worker on 29 March 2023.","Financial Assistance, Social Welfare"
Jagananna Chedodu,Andhra Pradesh,"""Jagananna Chedodu"" is a State-Funded Social Welfare Scheme by the Govt. of Andhra Pradesh. The scheme is only for tailors (All communities), Rajakas (washermen), and Nayee Brahmins (Barbers) of the state. The beneficiary will be provided one-time amount of ₹ 10,000 per year for a period of 5 year.","Barber, Financial Assistance, Social Welfare, Tailor, Washermen"
Assistance Scheme for Handicraft Artisans,Kerala,The Scheme intends to provide financial assistance in the form of grant to the artisans in the handicrafts sector for setting up handicraft enterprises. The assistance is a one time support to eligible artisans of the state as back end assistance.,"Artisan, ASHA, Enterprise, Entrepreneur, Financial Assistance, Handicraft"
Assam Arogya Nidhi Scheme,Assam,The scheme “Assam Arogya Nidhi Scheme” is a yearly Financial Assistance Scheme provided as reimbursement to members of families whose yearly income is less than ₹5.00 lakhs for treatment of serious diseases including accident cases.,"Accidental Case, Diseases, Financial Assistance, Hospital, Treatment"
Theka Shramik Evan Hamaal Shramik Baahy Rogi Chikitsa Sahaayata Yojana,Chhattisgarh,"Chhattisgarh State Government started a scheme ""Theka Shramik Evan Hamaal Shramik Baahy Rogi Chikitsa Sahaayata Yojana"" for unorganized worker on 11 March 2015.","Financial Assistance, Health, Treatment"
E-Thela Sahaayata Yojana,Chhattisgarh,"Chhattisgarh State Government started a scheme ""E-Thela Sahaayata Yojana"" for unorganized worker on 19 June 2017.","Business, Equipment, Financial Assistance"
Financial Assistance to Mussel Culture and Oyster Farming in Goa,Goa,"“Financial Assistance to Mussel Culture and Oyster Farming in Goa” is a scheme by the Dept. of Fisheries, Govt. of Goa. Through this scheme, financial assistance is provided to eligible fishermen for setting up units in estuarine waters, and in open sea. Only offline applications are accepted.","Aquaculture, Financial Assistance, Fish, Fishermen, Subsidy"
Financial Assistance For Purchase Of Stationery To SC/ST/OBC/Minorities Students,Delhi,Welfare scheme of Department For The Welfare Of SC/ST/OBC’s/Minorities to provide help for purchase of stationery to SC/ST/OBC/Minorities Students of 1st to 12th class studying Govt. of India/GNCT of Delhi/Aided Recognized schools.,"Financial Assistance, Minorities, Other Backward Classes, Purchase Of Stationery, Scheduled Caste, Scheduled Tribe, Students"
Mukhyamantri Shramik Siyaan Sahayata Yojana,Chhattisgarh,"Chhattisgarh State Government started a scheme ""Mukhyamantri Shramik Siyaan Sahayata Yojana"" for construction worker on 12 May 2022.","Financial Assistance, Social Welfare"
Institutions of Eminence scheme,Ministry of Education,Institutions of Eminence scheme has been launched in order to empower Higher Educational Institutions and to help them become world class teaching and research institutions.,"Education, Financial Assistance, Infrastructure"
Atal Beemit Vyakti Kalyan Yojana,Ministry Of Labour and Employment,The scheme “Atal Beemit Vyakti Kalyan Yojana (ABVKY)” was introduced by the Employees’ State Insurance Corporation (ESIC) on a pilot basis for a period of 2 years w.e.f. 01.07.2018 for providing relief to the Insured Persons (IPs) who have become unemployed.,"Atal, Employee, Insurance, Insured Person, Unemployment"
Usha Kiran Yojana,Madhya Pradesh,"In 2007, Madhya Pradesh State Government started ""Usha Kiran Yojana"" for women.","Deprivation Of Liberty, Domestic Violence, Mental Abuse, Physical Abuse, Sexual Abuse"
Swachh Bharat Mission – Urban 2.0,Ministry Of Housing & Urban Affairs,A sanitation scheme for the construction of Individual Household Latrines (IHHL) for urban households.,"Sanitation, Toilet"
Financial Assistance To Pre-primary School In Remote Areas,Goa,"The scheme provides financial assistance to set up pre-primary schools in remote tribal areas, in the form of rent amount payable for the premises, fixed remuneration to one Teacher, one helper, teaching aid/equipment, toys, and mid-meal.","Refreshment, Remuneration, School, Training, Tribal"
Visiting Advanced Joint Research Faculty Scheme,Ministry Of Science And Technology,VAJRA Faculty Scheme is a dedicated program exclusively for overseas scientists and academicians with emphasis on NRI and Persons of Indian Origin/Overseas Citizen of India to work as adjunct/visiting faculty for a specific period of time in Indian Public funded academic and research institutions.,"Faculty, Joint Research, NRI, OCI, Overseas, SERB, VAJRA, Visiting"
Mahatma Gandhi National Rural Employment Guarantee Act,Ministry Of Rural Development,"An employment scheme by the MoRD, providing provide at least 100 days of guaranteed wage employment in a financial year to every rural household whose adult members volunteer to do unskilled work. Any Indian citizen above the age of 18 years and residing in a rural area can apply to this scheme.","Employment, Job, Labour, Panchayat, Unskilled"
Modernisation And Removal Of Obsolescence,Ministry of Education,"MODROB scheme, one of the AICTE Quality Improvement Scheme (AQIS), intends to support the development of laboratories with appropriate equipment/ technology/ tools/ software and encourages financial contribution from the industry.","Grant, Institution"
Post Matric Scholarship For Scheduled Caste,Punjab,"The objective of the scheme is to appreciably increase the Gross Enrolment Ratio of SC students in higher education with a focus on those from the poorest households, by providing financial assistance at the post-matriculation or post-secondary stage to enable them to complete their education.","Post Matric, Punjab, Scheduled Cast, Scholarship"
Mukhyamantri Asangathit Karmakar Ijjat Monthly Season Ticket Card Yojana,Chhattisgarh,"Chhattisgarh State Government started a scheme ""Mukhyamantri Asangathit Karmakar Ijjat Monthly Season Ticket Card Yojana"" for unorganized worker on 27 December 2017.","Train Travel, Travel Pass, Unorganized Worker"
Young Interns Program,Rajasthan,"The Young Interns Program (YIP) is an internship program, envisaged by the Government of Rajasthan, for providing opportunities for talented and progressive youth to upgrade their skills by gaining practical experience working in programs, schemes and projects of the government departments.","Education, Government, Internship, Student"
Mukhyamantri Asangathit Karmakar Cycle Sahayata Yojana,Chhattisgarh,"Chhattisgarh State Government started a scheme ""Mukhyamantri Asangathit Karmakaar Saayakal Sahaayata Yojana"" for unorganized worker on 28 April 2012.","Empowerment, Vehicle, Women"
Scheme For Soft Loan To The Grant-in-aid/ Non-grant In Aid Institutions For Maintenance And Upgradation Of Infrastructure Facilities,Goa,The objective of the scheme is to support the efforts of the management of the Non-Government aided institutions/non-grant-in-aid institutions for the upgradation and maintenance of infrastructural facilities for promoting a conducive atmosphere for learning.,"Infrastructure, Institution, Loan, Maintenance"
Pradhan Mantri Awaas Yojana - Gramin,Ministry Of Rural Development,"Launch on 1st April 2016, Pradhan Mantri Awaas Yojana Gramin (PMAY-G) is centre's flagship mission by the Ministry of Rural Development (MoRD), implemented by the Ministry of Housing and Urban Affairs (MoHUA). PMAY-G addresses the rural housing shortage and bridges the housing deficit in rural areas","Financial Assistance, Housing, Loan, Rural Development"
Technology Development And Utilization Programme For Women,Ministry Of Science And Technology,"In order to meet the specific needs of women and to enhance the contribution of women towards technology capability building, the “Technology Development & Utilization Programme for Women (TDUPW)” has been formulated by the Department of Scientific and Industrial Research (DSIR).","Capacity Building, Research, Science, Technology, Women"
Top Class Education For Students With Disabilities,Ministry Of Social Justice and Empowerment,A scholarship scheme by DoEPwDs for Students with Disabilities (SwDs) pursuing studies beyond class 12th admitted in a full-time course in one of the 'notified institutions'.,"Books And Stationery, Empowerment, Person With Disability, Scholarship, Student, Tuition Fee"
Innovation In Science Pursuit For Inspired Research (INSPIRE) - Fellowship,Ministry Of Science And Technology,"INSPIRE Fellowship is one of the components of INSPIRE scheme implemented by the Department of Science and Technology (DST), Government of India to strengthen the Science and Technology base of the country. This Component focuses on attracting students to pursue doctoral degree.","Doctoral, Fellowship, Science, University"
Scheme For Award Of Senior/Junior Fellowships To Outstanding Persons In The Fields Of Culture,Ministry Of Culture,"The scheme “Scheme for Award of Senior/Junior Fellowships to Outstanding Persons in the Fields of Culture” was launched by the Ministry of Culture, Government of India.","Arts, Culture, Fellowship, Junior Fellows, Senior Fellows"
Foster Care Scheme (Vatsalaya),Goa,"The Foster Care Scheme (Vatsalaya) is being implemented by the Department of Women & Child Development, Government of Goa to provide temporary/substitute care for children in difficult circumstances, whose parents are unable to care for them due to illness, death, and desertion of parent, etc.","Foster Care, Orphan, Parent, Rehabilitation, Shelter"
Rise Together,Jammu and Kashmir,"Mission Youth, J&K has rolled out a specially designed community-oriented livelihood generation scheme for the youth of J&K under the name of ‘Rise Together.","Business Start-up, Entrepreneurship, Financial Assistance"
Pre Matric Scholarship For Students With Disabilities,Ministry Of Social Justice and Empowerment,"A scholarship scheme by DoEPwDs for Students with Disabilities (SwDs) studying in class 9th and class 10th in a government school or a school recognized by the government or CBSE or State Board. This includes persons with visual, hearing, speech, loco-motor, mental retardation & other disabilities.","Book Grant, Education, Persons With Disability, Pre-Matric, Scholarship, School, Social Welfare, Student, Students With Disabilities"
Prime Minister's Scholarship Scheme for Railway Protection Force,Ministry Of Railways,Prime Minister’s Scholarship Scheme (PMSS) for RPF was announced by Hon’ble Prime Minister of India in his address to the nation from the historical Red Ford on 15th August 2005 to encourage higher technical and professional education for the dependent wards of Ex/Serving RPF/RPSF personnel& widows.,"Railway, RPF, RPSF, Scholarship, Student"
Atma Nirbhar Krishi Yojana,Arunachal Pradesh,Atma Nirbhar Krishi Yojana (ANKY) is a scheme launched by the Arunachal Pradesh government to boost the agriculture sector. It provides financial assistance to farmers for various agricultural activities,"Empowerment, Farmers, Sustainability"
Krushy Aranya Protsaha Yojane (kapy),Karnataka,The Karnataka Forest Department launched 'Krushi Aranya Protsaha Yojane (KAPY)' in 2011-12 to encourage farmers and the public to increase forest and tree cover by providing subsidized seedlings and monetary incentives for planting,"Farmers, Pahani, Subsidy, Three-year Nurturing, Tree Plantation"
